scenario,book,gross_exposure,path,seed,ending_after_tax_wealth,after_tax_cagr,gross_losses_realized,gross_losses_liquidation,disallowed_wash_losses,net_realized_pre_liquidation,tax_benefit_used,unused_loss_carry,liquidation_tax,tracking_error,max_drawdown,annual_turnover,management_fees,borrow_costs,transaction_costs,payments_in_lieu,dividend_taxes,debit_interest,min_margin_excess_ratio,avg_long_exposure,avg_short_exposure,max_net_exposure_error,maintenance_deficiency_observed,feasible_at_inception,insolvent,deleverage_events,extension_scale,yearly_taxes_paid
"Annual $100k ST gains, zero alpha",100/0,1.0,11,18,951612.1793194343,-0.004947490834644075,981854.1113662526,0.0,0.0,-487887.4806030143,230325.90076365467,-0.0,63868.62958250767,0.02594717009364043,-0.5610479772750782,0.8412869460757355,40462.26872263808,0.0,8507.08719801464,0.0,29034.557490851374,22573.497935310887,0.7220442723384308,1.043905770479044,0.0,0.11182291064627647,False,True,False,0,1.0,98896.11782557775
"Annual $100k ST gains, zero alpha",100/0,1.0,12,19,2084349.847103205,0.07621009501432852,632416.0574346015,305.44653098861863,0.0,64290.504742095356,111042.70082546899,-0.0,315509.3648453008,0.021870729313349897,-0.23274986879547666,0.4511378913291453,57974.609603098506,0.0,7536.202302838643,0.0,41848.20584198086,37696.52500483393,0.7210401391584752,1.0461829700472058,0.0,0.11583944336609919,False,True,False,0,1.0,432705.94244180043
"Annual $100k ST gains, zero alpha",100/0,1.0,13,20,672792.7811773352,-0.03885672341975699,1001163.8880377956,9641.552419867223,0.0,-649233.4646669653,270214.221589872,-0.0,12698.236131222951,0.02315556782061213,-0.6134060199364513,0.9394389192050138,31591.049004129276,0.0,7309.5821258533015,0.0,22637.23002845541,17368.836374668626,0.7230422466836761,1.0405524646632023,0.0,0.10783101326529532,False,True,False,0,1.0,30544.7957082822
"Annual $100k ST gains, zero alpha",100/0,1.0,14,21,1195753.1982779938,0.018038389198006266,782384.1653873823,340.3507193480231,0.0,-223579.51997120547,141369.42733865205,-0.0,101063.58620387968,0.017706742818333395,-0.40033978793006864,0.6586841711188762,54003.01307641904,0.0,9058.092876224971,0.0,38974.80063409917,34624.27714886226,0.7210615653641701,1.0503557911776884,0.0,0.1157537385433196,False,True,False,0,1.0,154409.63465157765
"Annual $100k ST gains, zero alpha",100/0,1.0,15,22,2953112.3042195546,0.11436636766543407,639211.4810350495,323.4663225714123,0.0,443866.0300685897,101649.41592995226,-0.0,500009.36555756314,0.018116872835838765,-0.41753842514985884,0.31268540836775205,94559.5352420572,0.0,8848.208098062225,0.0,68090.50580906846,56862.87876742033,0.7184502657810725,1.0490787019418624,0.0,0.12619893687570993,False,True,False,0,1.0,742327.2168103463
"Annual $100k ST gains, zero alpha",100/0,1.0,16,23,1171763.746121714,0.015977302555893358,934535.7524061395,591.1254533599093,0.0,-207902.88464424445,130883.6772893236,-0.0,70236.2496987581,0.019008135890816118,-0.418054250421949,0.5979583382249567,57474.71240913347,0.0,8691.177573909621,0.0,41316.952991764665,34083.49262841671,0.7245050196399816,1.0430139811529275,0.0,0.10197992144007362,False,True,False,0,1.0,117795.66399760707
"Annual $100k ST gains, zero alpha",100/0,1.0,17,24,781891.87626054,-0.024303673012376015,1030044.6553599598,0.0,0.0,-567542.2267557383,225191.11404517468,-0.0,27878.57058376025,0.023875163659679212,-0.5904256195288844,0.9336083852312947,38718.41314237665,0.0,8837.497428398578,0.0,27610.4661869135,18836.42017992283,0.7233701358448024,1.0361954197450307,0.0,0.10651945662079076,False,True,False,0,1.0,32212.68567898978
"Annual $100k ST gains, zero alpha",100/0,1.0,18,25,3365301.2544675265,0.12902197430878415,764882.4234593816,0.0,0.0,944952.3677545891,54494.27787459377,-0.0,502520.4311402024,0.016671955134882056,-0.3050265162216743,0.31719271164928553,119016.88525597149,0.0,10977.426034040474,0.0,85389.29241988377,66918.63760930208,0.7279923250149146,1.0421513956538262,0.0,0.08803069994034174,False,True,False,0,1.0,824584.5485975178
"Annual $100k ST gains, zero alpha",100/0,1.0,19,26,3015842.3272517556,0.11671117770036554,482651.71308576583,0.0,0.0,741575.9750742611,6342.592863317019,-0.0,458815.76437543007,0.019939137325337582,-0.19263386966089602,0.27015432314382004,100648.22775954215,0.0,8364.657834778442,0.0,72426.69879728198,60276.46077568102,0.7228757973219898,1.0444281631219894,0.0,0.10849681071204098,False,True,False,0,1.0,709994.7537487098
"Annual $100k ST gains, zero alpha",100/0,1.0,20,27,2658423.8323904765,0.102712816219656,633990.5366788058,703.7965733763788,0.0,629330.5872491073,62715.93845682539,-0.0,388383.46679918136,0.018052444020214834,-0.30113327348040153,0.3659138050614046,92669.58514368985,0.0,9651.157294822448,0.0,66821.2344476147,59076.649284366984,0.7227137575063937,1.0471089054408713,0.0,0.10914496997442513,False,True,False,0,1.0,631186.846183953
